DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Avg Ambient Air Temperature [c],Area,Idling portion,Duration,CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],trip,laged_distance,laged_distance_corrected, speed distance ,VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
10/7/2019 13:39,45.55039,-73.60883,53.25888,29.7,31,1127.75,0.3843043,0.875245,37,4.645698,34.5098,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.009086542,0.174562753,0.315851842,178100,310101.6316,0.001114269,1.114269108,Chevrolet_Malibu,7.667467475,7.667467475,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55033,-73.60873,53.44455,31.968,31,1111.75,-5.55E-17,1.104872,37,4.645698,34.5098,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.012548189,0.220360582,0.315851842,178100,310101.6316,0.001114269,1.114269108,Chevrolet_Malibu,10.26876338,10.26876338,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55029,-73.60863,53.50497,31.968,31,1104,-5.55E-17,1.201382,37,5.23004,39.68628,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.012599077,0.239608966,0.355580102,178100,310101.6316,0.001254423,1.254423341,Chevrolet_Malibu,8.985671029,8.985671029,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55026,-73.60855,53.51779,31.176,31,1111.25,-5.55E-17,2.116562,37,9.38434,70.74509,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.010928539,0.422136532,0.638022763,178100,310101.6316,0.002250831,2.250830803,Chevrolet_Malibu,7.08119904,7.08119904,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55022,-73.60845,53.78274,31.644,31,1111.25,-5.55E-17,2.116562,37,9.38434,70.74509,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.010254621,0.422136532,0.638022763,178100,310101.6316,0.002250831,2.250830803,Chevrolet_Malibu,8.985679425,8.985679425,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55017,-73.60835,53.76876,32.544,31,1093.75,-5.55E-17,2.336205,37,3.153946,24.15686,100,0.999424,16,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.011448333,0.465943108,0.214430566,178100,310101.6316,0.000756473,0.756472891,Chevrolet_Malibu,9.58435848,9.58435848,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55012,-73.60825,53.90976,30.996,31,1127,-5.55E-17,0.9251639,37,4.178348,31.05882,100,0.999424,16,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.015366587,0.1845188,0.284077638,178100,310101.6316,0.001002175,1.002175367,Chevrolet_Malibu,9.584364092,9.584364092,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55011,-73.60818,53.98056,28.62,31,1127,-5.55E-17,0.9251639,37,4.178348,31.05882,100,0.999424,16,16.5,Semi-Highway,0.214159292,1,17.81,31.1,-0.000244806,0.1845188,0.284077638,178100,310101.6316,0.001002175,1.002175367,Chevrolet_Malibu,5.578055626,5.578055626,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.5501,-73.60809,54.13284,28.512,31,1127,-5.55E-17,0.9251639,37,4.178348,31.05882,100,0.999424,16,16.5,Semi-Highway,0.214159292,1,17.81,31,-9.55E-05,0.1845188,0.284077638,178100,310203.6387,0.001002505,1.00250503,Chevrolet_Malibu,7.115323234,7.115323234,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55003,-73.60799,53.59744,30.636,31,1127,-5.55E-17,0.9251639,37,4.178348,31.05882,100,0.999424,16,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.002302176,0.1845188,0.284077638,178100,310203.6387,0.001002505,1.00250503,Chevrolet_Malibu,11.02300297,11.02300297,8.611111111,1,0,1.5,3078,1396
